subj,subj_type,subj_span,obj,obj_type,obj_span,relation
Bill Clinton has created high-wage manufacturing jobs at 10 times the national average,Premise,"((18667, 18753),)",Bill Clinton's top priority is putting America back to work,Claim,"((18499, 18558),)",Support
Bill Clinton and I agree with so many military experts,Premise,"((27485, 27539),)","it is time for the Europeans, who are so much wealthier now and more powerful than they were at the end of World War II to start picking up a little more of that tab themselves and not rely so exclusively on the US taxpayers for the defense of Europe",Claim,"((27557, 27807),)",Support
it's a false choice,Claim,"((37406, 37425),)",that's a false choice,Claim,"((36913, 36934),)",Support
we believe that during the early stages of a pregnancy the government has no business coming in and ordering a woman to do what the government thinks is best,Claim,"((56700, 56857),)",don't have the government order a woman to do what they think is the right thing to do,Premise,"((57013, 57099),)",Attack
"It's becoming increasingly difficult to pay for public education, for transportation, for police and fire protection, the basic services that local government must provide",Premise,"((65595, 65766),)",they're facing a financial and social crisis,Claim,"((65325, 65369),)",Support
He knows all of the little stinky numbers these guys do,Premise,"((77489, 77544),)",Abraham Lincoln had character,Premise,"((77546, 77575),)",Support
we don't believe our nation can stand 4 more years of what we've had under George Bush and Dan Quayle,Premise,"((2893, 2994),)",Bill Clinton and I stand for change,Claim,"((2849, 2884),)",Support
I've been vice president for 4 years,Premise,"((7613, 7649),)",I've been tested,Claim,"((7595, 7611),)",Support
"according to the statistics coming from the Bush-Quayle Labor Dept, for the last 2 years in a role Bill Clinton's state has been number one among all 50 in the creation of jobs in the private sector",Premise,"((18766, 18964),)","Bill Clinton and I will create good, high-wage jobs for our people",Claim,"((18560, 18626),)",Support
"We believe that we can make savings in our defense budget and at the same time, improve our national security",Claim,"((27810, 27919),)",Bill Clinton and I support a strong national defense,Claim,"((27093, 27145),)",Support
You ought to talk to the coal miners,Premise,"((37760, 37796),)",They're talking about putting a coal tax on,Premise,"((37798, 37841),)",Support
We ought to be able to build more common ground among those who describe themselves as pro-choice and pro-life in efforts to reduce the number of unwanted pregnancies,Claim,"((57102, 57268),)",don't have the government order a woman to do what they think is the right thing to do,Premise,"((57013, 57099),)",Attack
it's an idea that the president has been pushing,Premise,"((66053, 66101),)",enterprise zones are important,Claim,"((66018, 66048),)",Support
Abraham Lincoln had character,Premise,"((77546, 77575),)",I would like to brag about the character of my boss,Claim,"((77691, 77742),)",Support
paralyzed into inaction,Premise,"((3070, 3093),)",When the recession came they were like a deer caught in the headlights,Claim,"((2996, 3066),)",Support
I've been vice president for 4 years,Premise,"((7613, 7649),)",I've done the job,Claim,"((7576, 7593),)",Support
"according to the statistics coming from the Bush-Quayle Labor Dept, for the last 2 years in a role Bill Clinton's state has been number one among all 50 in the creation of jobs in the private sector",Premise,"((18766, 18964),)",Bill Clinton's top priority is putting America back to work,Claim,"((18499, 18558),)",Support
"We believe that we can make savings in our defense budget and at the same time, improve our national security",Claim,"((27810, 27919),)","it is time for the Europeans, who are so much wealthier now and more powerful than they were at the end of World War II to start picking up a little more of that tab themselves and not rely so exclusively on the US taxpayers for the defense of Europe",Claim,"((27557, 27807),)",Support
"You ought to ask somebody in Michigan, a UAW worker in Michigan, if they think increasing the CAFE standards, the fuel economy standards, to 45 miles a gallon is a good idea -- 300,000 people out of work",Premise,"((37427, 37630),)","They're talking about a tax on utilities, a tax on gasoline and home heating oil -- all sorts of taxes",Premise,"((37843, 37945),)",Support
We ought to be able to build more common ground among those who describe themselves as pro-choice and pro-life in efforts to reduce the number of unwanted pregnancies,Claim,"((57102, 57268),)",What Dan Quayle and George Bush and Jerry Falwell and Pat Robertson think is the right decision in a given set of circumstances is their privilege,Premise,"((56859, 57005),)",Support
enterprise zones are important,Claim,"((66018, 66048),)","there's been very strong reluctance on, with the Democratic Congress",Premise,"((66107, 66175),)",Attack
I would like to brag about the character of my boss,Claim,"((77691, 77742),)",Character of the leaders is the big variable in the success -- long term success -- of an administration,Claim,"((76910, 77014),)",Support
blinded to the suffering and pain of bankruptcies and people who were unemployed,Premise,"((3095, 3175),)",When the recession came they were like a deer caught in the headlights,Claim,"((2996, 3066),)",Support
"according to the statistics coming from the Bush-Quayle Labor Dept, for the last 2 years in a role Bill Clinton's state has been number one among all 50 in the creation of jobs in the private sector",Premise,"((18766, 18964),)","By contrast, in the nation as a whole, during the last 4 years, it is the first time since the presidency of Herbert Hoover, that we have gone for a 4-year period with fewer jobs at the end of that 4-year period than we had at the beginning",Premise,"((18966, 19206),)",Attack
building an infrastructure and an economy here in this country for the '90's and the next century,Premise,"((28202, 28299),)",We want to put them to work,Claim,"((28173, 28200),)",Support
the choice isn't the environment and jobs,Claim,"((37957, 37998),)",With the right policies -- prudent policies -- we can have both,Claim,"((38000, 38063),)",Support
we believe there are way too many abortions in this country,Claim,"((56394, 56453),)",We ought to be able to build more common ground among those who describe themselves as pro-choice and pro-life in efforts to reduce the number of unwanted pregnancies,Claim,"((57102, 57268),)",Support
We'll continue to push it,Claim,"((66177, 66202),)",enterprise zones are important,Claim,"((66018, 66048),)",Support
This election is about the future of our country,Claim,"((77780, 77828),)",not about personal attacks against one candidate or another,Claim,"((77830, 77889),)",Attack
We have an environmental crisis,Premise,"((3177, 3208),)",When the recession came they were like a deer caught in the headlights,Claim,"((2996, 3066),)",Support
I've been vice president for 4 years,Premise,"((7613, 7649),)",Senator Gore referred to us being elected to the Congress together in 1976,Premise,"((7651, 7725),)",Support
Bill Clinton has created high-wage manufacturing jobs at 10 times the national average,Premise,"((18667, 18753),)","By contrast, in the nation as a whole, during the last 4 years, it is the first time since the presidency of Herbert Hoover, that we have gone for a 4-year period with fewer jobs at the end of that 4-year period than we had at the beginning",Premise,"((18966, 19206),)",Attack
We want to put them to work,Claim,"((28173, 28200),)","for those who are affected by the cutbacks, whether they come from George Bush or Bill Clinton and me -- the difference is, Bill Clinton and I have a defense conversion program so that those who won the Cold War will not be left out in the cold",Claim,"((27927, 28171),)",Support
the choice isn't the environment and jobs,Claim,"((37957, 37998),)","You ought to ask somebody in Michigan, a UAW worker in Michigan, if they think increasing the CAFE standards, the fuel economy standards, to 45 miles a gallon is a good idea -- 300,000 people out of work",Premise,"((37427, 37630),)",Attack
We have 1.6 million abortions,Premise,"((57691, 57720),)","We have more abortions in Washington, DC, than we do live births",Premise,"((57722, 57786),)",Support
They wanted home ownership,Premise,"((66396, 66422),)",I was at a housing sub -- a housing project in San Francisco several months ago and met with people that were trying to reclaim their neighborhood,Premise,"((66247, 66393),)",Support
This election is about the future of our country,Claim,"((77780, 77828),)",Our nation is in trouble,Premise,"((77891, 77915),)",Attack
a health insurance crisis,Premise,"((3210, 3235),)",When the recession came they were like a deer caught in the headlights,Claim,"((2996, 3066),)",Support
Senator Gore referred to us being elected to the Congress together in 1976,Premise,"((7651, 7725),)",I've done the job,Claim,"((7576, 7593),)",Support
We have lost 1.4 million jobs in manufacturing under George Bush and Dan Quayle,Claim,"((19236, 19315),)","By contrast, in the nation as a whole, during the last 4 years, it is the first time since the presidency of Herbert Hoover, that we have gone for a 4-year period with fewer jobs at the end of that 4-year period than we had at the beginning",Premise,"((18966, 19206),)",Support
building an infrastructure and an economy here in this country for the '90's and the next century,Premise,"((28202, 28299),)","for those who are affected by the cutbacks, whether they come from George Bush or Bill Clinton and me -- the difference is, Bill Clinton and I have a defense conversion program so that those who won the Cold War will not be left out in the cold",Claim,"((27927, 28171),)",Support
the choice isn't the environment and jobs,Claim,"((37957, 37998),)","You ought to talk to the timber people in the Northwest where they say that, well, we can only save the owl, forget about jobs",Premise,"((37632, 37758),)",Attack
I happen to be pro-life,Premise,"((57504, 57527),)",I have been pro-life for my 16 years in public life,Premise,"((57529, 57566), (57585, 57599))",Support
They didn't want handouts,Premise,"((66424, 66449),)",I was at a housing sub -- a housing project in San Francisco several months ago and met with people that were trying to reclaim their neighborhood,Premise,"((66247, 66393),)",Support
This election is about the future of our country,Claim,"((77780, 77828),)","it is appalling to me that with 10 million Americans out work, with the rest working harder for less money than they did 4 years ago, with the loss of 1.4 million manufacturing jobs in our nation, with the health care crisis, a crisis of crime and drugs and AIDS, substandard education, that George Bush would constantly try to level personal attacks at his opponent",Premise,"((77920, 78286),)",Attack
substandard education,Premise,"((3237, 3258),)",When the recession came they were like a deer caught in the headlights,Claim,"((2996, 3066),)",Support
let me just give you an example of where I was tested under fire and in a crisis,Premise,"((7891, 7971),)",I've been tested,Claim,"((7595, 7611),)",Support
look at manufacturing,Premise,"((19213, 19234),)",We have lost 1.4 million jobs in manufacturing under George Bush and Dan Quayle,Claim,"((19236, 19315),)",Support
We won the Cold War,Claim,"((28342, 28361),)",We won the Cold War,Claim,"((28342, 28361),)",Equivalent
"If you purify the pond, the water lilies die",Premise,"((38526, 38570),)","you can overdo, I'm told, environmental cleaning up",Claim,"((38473, 38524),)",Support
"We have more abortions in Washington, DC, than we do live births",Premise,"((57722, 57786),)",Why shouldn't we have more reflection upon the issue before abor -- the decision of abortion is made,Premise,"((57788, 57888),)",Support
I was at a housing sub -- a housing project in San Francisco several months ago and met with people that were trying to reclaim their neighborhood,Premise,"((66247, 66393),)","We also want, Hal, to have home ownership",Claim,"((66204, 66245),)",Support
"it is appalling to me that with 10 million Americans out work, with the rest working harder for less money than they did 4 years ago, with the loss of 1.4 million manufacturing jobs in our nation, with the health care crisis, a crisis of crime and drugs and AIDS, substandard education, that George Bush would constantly try to level personal attacks at his opponent",Premise,"((77920, 78286),)","this, of course, just reached a new low last week when he resorted to a classic McCarthyite technique of trying to smear Bill Clinton over a trip that he took as a student along with lots of other Rhodes Scholars who were invited to go to Russia",Premise,"((78293, 78538),)",Support
When the recession came they were like a deer caught in the headlights,Claim,"((2996, 3066),)",It is time for a change,Claim,"((3260, 3283),)",Support
I've done many things for the president,Premise,"((7746, 7785),)",I've done the job,Claim,"((7576, 7593),)",Support
They have even -- we learned 2 weeks ago -- taken our tax dollars and subsidized the moving of US factories to foreign countries,Claim,"((19317, 19445),)",We have lost 1.4 million jobs in manufacturing under George Bush and Dan Quayle,Claim,"((19236, 19315),)",Support
We won the Cold War,Claim,"((28342, 28361),)",we won the Cold War,Claim,"((28487, 28506),)",Equivalent
according to some scientists,Premise,"((38433, 38461),)",the things that he fears most might not be all that dangerous,Claim,"((38370, 38431),)",Support
Why shouldn't we have more reflection upon the issue before abor -- the decision of abortion is made,Premise,"((57788, 57888),)",My objective and the president's objective is to try to reduce abortions in this country,Claim,"((57601, 57689),)",Support
I was with the Democrat mayor of San Francisco who was there supporting our idea,Premise,"((66455, 66535),)","We also want, Hal, to have home ownership",Claim,"((66204, 66245),)",Support
It's a classic McCarthyite smear techniqu,Claim,"((78540, 78581),)","this, of course, just reached a new low last week when he resorted to a classic McCarthyite technique of trying to smear Bill Clinton over a trip that he took as a student along with lots of other Rhodes Scholars who were invited to go to Russia",Premise,"((78293, 78538),)",Support
It is time for a change,Claim,"((3260, 3283),)",Bill Clinton and I stand for change,Claim,"((2849, 2884),)",Support
I've done many things for the president,Premise,"((7746, 7785),)",even as vice president you never know exactly what your role is going to be from time to time,Premise,"((7792, 7885),)",Support
60 Minutes and Nightline and the nation's newspapers have investigated this very carefully,Premise,"((19473, 19563),)",They have even -- we learned 2 weeks ago -- taken our tax dollars and subsidized the moving of US factories to foreign countries,Claim,"((19317, 19445),)",Support
we won the Cold War,Claim,"((28487, 28506),)",We won the Cold War,Claim,"((28342, 28361),)",Equivalent
I'm told by some experts,Premise,"((38340, 38364),)",the things that he fears most might not be all that dangerous,Claim,"((38370, 38431),)",Support
I was in Los Angeles recently and I talked to a woman who told me that she had an abortion when she was 17 years of age,Premise,"((57999, 58118),)",looking back on that she said it was a mistake,Premise,"((58124, 58170),)",Support
it's true,Claim,"((66890, 66899),)",I know some people laugh about it when I talk about the breakdown of the family,Premise,"((66805, 66884),)",Support
I think the president of the US ought to apologize,Claim,"((78584, 78634),)","it is appalling to me that with 10 million Americans out work, with the rest working harder for less money than they did 4 years ago, with the loss of 1.4 million manufacturing jobs in our nation, with the health care crisis, a crisis of crime and drugs and AIDS, substandard education, that George Bush would constantly try to level personal attacks at his opponent",Premise,"((77920, 78286),)",Attack
But our real discussion is going to be about change,Claim,"((2796, 2847),)",It is time for a change,Claim,"((3260, 3283),)",Support
even as vice president you never know exactly what your role is going to be from time to time,Premise,"((7792, 7885),)",let me just give you an example of where I was tested under fire and in a crisis,Premise,"((7891, 7971),)",Support
When are you going to stop using our tax dollars to shut down American factories and move 'em to foreign countries and throw Americans out of work?,Claim,"((19579, 19726),)",They have even -- we learned 2 weeks ago -- taken our tax dollars and subsidized the moving of US factories to foreign countries,Claim,"((19317, 19445),)",Attack
we invested in national security,Premise,"((28370, 28402),)",We won the Cold War,Claim,"((28342, 28361),)",Support
I don't like to have it the private property of fanatics that want to overdo this thing,Premise,"((38633, 38720),)","you can overdo, I'm told, environmental cleaning up",Claim,"((38473, 38524),)",Support
looking back on that she said it was a mistake,Premise,"((58124, 58170),)","she said I wished at that time, that I was going through this difficult time, that I had counseling to talk about the post-abortion trauma, and talk about adoption rather than abortion. Because if I had had that discussion, I would have had the child",Premise,"((58184, 58434),)",Support
I know some people laugh about it when I talk about the breakdown of the family,Premise,"((66805, 66884),)","I also want to point out one of the fundamental problems that we have in American cities and throughout America today, and that is the breakdown of the American family",Claim,"((66635, 66802),)",Support
It's a classic McCarthyite smear techniqu,Claim,"((78540, 78581),)",I think the president of the US ought to apologize,Claim,"((78584, 78634),)",Support
Bill Clinton and I want to get our country moving forward again,Premise,"((3286, 3349),)",It is time for a change,Claim,"((3260, 3283),)",Support
President Bush was flying to Malta in 1989 to meet with President Gorbachev,Premise,"((7974, 8049),)",It was the first meeting between President Bush and President Gorbachev,Premise,"((8051, 8122),)",Support
don't always believe what you see on television,Claim,"((19777, 19824),)",60 Minutes and Nightline and the nation's newspapers have investigated this very carefully,Premise,"((19473, 19563),)",Attack
I love this planet and I want it to stay here,Premise,"((38582, 38627),)",I don't like to have it the private property of fanatics that want to overdo this thing,Premise,"((38633, 38720),)",Attack
"she said I wished at that time, that I was going through this difficult time, that I had counseling to talk about the post-abortion trauma, and talk about adoption rather than abortion. Because if I had had that discussion, I would have had the child",Premise,"((58184, 58434),)",Let's not forget that every abortion stops a beating heart,Premise,"((58436, 58494),)",Support
60 % of the kids that are born in our major cities today are born out of wedlock,Premise,"((66901, 66981),)","I also want to point out one of the fundamental problems that we have in American cities and throughout America today, and that is the breakdown of the American family",Claim,"((66635, 66802),)",Support
I think that he insulted the intelligence of the American people,Claim,"((78636, 78700),)",I think the president of the US ought to apologize,Claim,"((78584, 78634),)",Support
Bill Clinton and I want to get our country moving forward again,Premise,"((3286, 3349),)",put our people back to work,Premise,"((3351, 3378),)",Support
It was the first meeting between President Bush and President Gorbachev,Premise,"((8051, 8122),)",They had known each other before,Premise,"((8124, 8156),)",Support
the media have been wrong before,Premise,"((19856, 19888),)",don't always believe what you see on television,Claim,"((19777, 19824),)",Support
we invested in national security,Premise,"((28370, 28402),)",we won the Cold War,Claim,"((28487, 28506),)",Support
Japan and Germany are both opening proclaiming to the world now that the biggest new market in the history of world business is the market for the new products and technologies that foster economic progress without environmental destruction,Premise,"((38931, 39171),)","Why is the Japanese business organization -- the largest one they have, the Ki Den Ren (phonetic), arguing for tougher environmental standards than those embodied in US law?",Premise,"((39174, 39347),)",Support
Let's not forget that every abortion stops a beating heart,Premise,"((58436, 58494),)",I think we have far too many abortions in this country,Claim,"((58496, 58550),)",Support
We have too many divorces,Premise,"((66983, 67008),)","I also want to point out one of the fundamental problems that we have in American cities and throughout America today, and that is the breakdown of the American family",Claim,"((66635, 66802),)",Support
I'm awful proud that the American people rejected that tactic so overwhelmingly that he decided he had made a mistake,Premise,"((78705, 78822),)",I think that he insulted the intelligence of the American people,Claim,"((78636, 78700),)",Support
put our people back to work,Premise,"((3351, 3378),)",create a bright future for the US of America,Premise,"((3384, 3428),)",Support
They had known each other before,Premise,"((8124, 8156),)",A coup broke out in the Philippines,Premise,"((8159, 8194),)",Support
We have never subsidized any country -- or any company to move from the US to Latin America,Claim,"((19890, 19981),)",When are you going to stop using our tax dollars to shut down American factories and move 'em to foreign countries and throw Americans out of work?,Claim,"((19579, 19726),)",Attack
"Why is the Japanese business organization -- the largest one they have, the Ki Den Ren (phonetic), arguing for tougher environmental standards than those embodied in US law?",Premise,"((39174, 39347),)",Why is MITI -- their trade organization -- calling on all Japanese corporations everywhere in the world to exceed by as much as possible the environmental standards of every country in which they're operating?,Premise,"((39348, 39557),)",Support
Why shouldn't we have more reflection upon the issue before abor -- the decision of abortion is made,Premise,"((57788, 57888),)",I think we have far too many abortions in this country,Claim,"((58496, 58550),)",Support
We have too many fathers that aren't assuming their responsibility,Premise,"((67010, 67076),)","I also want to point out one of the fundamental problems that we have in American cities and throughout America today, and that is the breakdown of the American family",Claim,"((66635, 66802),)",Support
we ought to look to the future,Claim,"((79211, 79241),)",This election is about the future of our country,Claim,"((77780, 77828),)",Support
put our people back to work,Premise,"((3351, 3378),)",It is time for a change,Claim,"((3260, 3283),)",Support
A coup broke out in the Philippines,Premise,"((8159, 8194),)",I had to go to the situation room,Premise,"((8196, 8229),)",Support
No,Claim,"((915, 917),)","You know full well the Caribbean Basin Initiative, you've supported that",Claim,"((19983, 20055),)",Attack
we invested in our military,Premise,"((28432, 28459),)",We won the Cold War,Claim,"((28342, 28361),)",Support
Why is MITI -- their trade organization -- calling on all Japanese corporations everywhere in the world to exceed by as much as possible the environmental standards of every country in which they're operating?,Premise,"((39348, 39557),)",maybe they know something that George Bush and Dan Quayle don't know,Premise,"((39621, 39689),)",Attack
I think we have far too many abortions in this country,Claim,"((58496, 58550),)",My objective and the president's objective is to try to reduce abortions in this country,Claim,"((57601, 57689),)",Support
"I also want to point out one of the fundamental problems that we have in American cities and throughout America today, and that is the breakdown of the American family",Claim,"((66635, 66802),)",The breakdown of the family is a contributing factor to the problems that we have in urban America,Claim,"((67078, 67176),)",Support
"the future is, who's going to be the next president of the US",Premise,"((79247, 79308),)",we ought to look to the future,Claim,"((79211, 79241),)",Support
create a bright future for the US of America,Premise,"((3384, 3428),)",It is time for a change,Claim,"((3260, 3283),)",Support
I had to go to the situation room,Premise,"((8196, 8229),)",I had to assemble the president's advisers,Premise,"((8231, 8273),)",Support
I voted against it,Claim,"((20112, 20130),)",No,Claim,"((915, 917),)",Support
the future will call for greater efficiency and greater environmental efficiency,Claim,"((39698, 39778),)",maybe they know something that George Bush and Dan Quayle don't know,Premise,"((39621, 39689),)",Attack
"Something like a 24-hour waiting period, parental notification",Premise,"((57934, 57996),)",Why shouldn't we have more reflection upon the issue before abor -- the decision of abortion is made,Premise,"((57788, 57888),)",Support
I think enterprise zones are good,Claim,"((67218, 67251),)",enterprise zones are important,Claim,"((66018, 66048),)",Support
Bill Clinton simply has trouble telling the truth,Claim,"((79378, 79427),)","the future is, who's going to be the next president of the US",Premise,"((79247, 79308),)",Attack
he will raise your taxes,Premise,"((3836, 3860),)","Bill Clinton's economic plan and his agenda will make matters much, much worse",Claim,"((3754, 3832),)",Support
I had to assemble the president's advisers,Premise,"((8231, 8273),)",I talked to President Aquino,Premise,"((8275, 8303),)",Support
I voted against it,Claim,"((20112, 20130),)","You know full well the Caribbean Basin Initiative, you've supported that",Claim,"((19983, 20055),)",Attack
we invested in our military,Premise,"((28432, 28459),)",we won the Cold War,Claim,"((28487, 28506),)",Support
Bill Clinton and I believe we can create millions of new jobs by leading the environmental revolution instead of dragging our feet and bringing up the rear,Claim,"((38764, 38919),)",the future will call for greater efficiency and greater environmental efficiency,Claim,"((39698, 39778),)",Support
I think it's a privacy issue,Claim,"((58915, 58943),)",I don't think it's a political issue,Claim,"((58877, 58913),)",Support
We had our own laws,Premise,"((67428, 67447),)","We had our own, practically our own constitution",Premise,"((67449, 67497),)",Support
Bill Clinton simply has trouble telling the truth,Claim,"((79378, 79427),)",I think the president of the US ought to apologize,Claim,"((78584, 78634),)",Attack
he will increase spending,Premise,"((3862, 3887),)","Bill Clinton's economic plan and his agenda will make matters much, much worse",Claim,"((3754, 3832),)",Support
I talked to President Aquino,Premise,"((8275, 8303),)",I made the recommendation to the president,Premise,"((8305, 8347),)",Support
You voted for it,Claim,"((20141, 20157),)",I voted against it,Claim,"((20112, 20130),)",Attack
that means to take care of it,Premise,"((39973, 40002),)","I'm taught in my religious tradition that we are given dominion over the Earth, but we're required to be good stewards of the Earth",Premise,"((39836, 39967),)",Support
I don't think it's a political issue,Claim,"((58877, 58913),)","I believe that a woman owns her body and what she does with it is her own business, period",Claim,"((58617, 58707),)",Support
"I ran a civilization for several years, a civilization of 3 to 4 hundred wonderful men",Premise,"((67340, 67426),)",We had our own laws,Premise,"((67428, 67447),)",Support
